mass,RT,mass.r,formula
a,b,d,e
500.2596,3.15,500.26,C24 H30 N12 O
375.2503,8.08,375.25,#N/A
310.1493,3.3,310.149,#N/A
495.6999,1.49,495.7,#N/A
616.3398,8.26,616.34,C28 H40 N16 O
469.4248,1.1,469.425,C26 H57 N5 S
174.1248,5.97,174.125,C9 H18 O3
584.3127,8.47,584.313,C29 H49 Cl N4 O4 S
396.3166,8.43,396.317,C16 H36 N12
311.9184,3.19,311.918,C7 H8 N2 O2 S5
258.9508,1.17,258.951,C7 H2 Cl N3 O4 S
925.7679,4.28,925.768,> limit nullnullnull 4.2695
220.1572,5.04,220.157,220.1571@5.0240555
372.1953,8.08,372.195,C17 H35 Cl3 N2
485.6446,0.92,485.645,<none> nullnullnull 0.91333324
351.1921,2.29,351.192,C15 H29 N O8
408.2292,8.1,408.229,C27 H28 N4
609.377,8.47,609.377,609.3776@8.470815
436.2585,8.47,436.259,C18 H38 Cl2 N8
935.3269,0.92,935.327,> limit nullnullnull 0.9148148
165.9623,1.02,165.962,#N/A
292.1049,1.05,292.105,#N/A
724.3456,3.2,724.346,C32 H44 N12 O8
431.2806,8.47,431.281,431.2858@8.069464
317.1816,2.71,317.182,#N/A
386.1918,2.7,386.192,C16 H30 N6 O S2
760.3748,9.07,760.375,> limit nullnullnull 9.078616
463.3055,8.46,463.306,C20 H41 N5 O7
189.9715,1.77,189.972,C4 H3 Cl N4 O S
298.2529,6.92,298.253,#N/A
521.5865,8.46,521.587,<none> nullnullnull 8.4104395
760.4127,8.47,760.413,760.4158@8.468645
534.2744,8.04,534.274,C19 H42 N4 O13
209.9906,1.02,209.991,C4 H6 N2 O6 S
344.1333,1.07,344.133,C13 H28 O6 S2
396.2156,8.23,396.216,396.2162@8.218893
